publication,year,endorsed,source,source2,notes
Hartford Courant,2008,Obama,http://www.courant.com/opinion/editorials/hc-endorsepresidential.artoct26-story.html,,
Hartford Courant,2012,Obama,http://articles.courant.com/2012-10-26/news/hc-ed-obama-endorsement-1028-20121026_1_health-care-reform-obama-didn-t-change-president-barack-obama,,
Hartford Courant,2016,Clinton,http://www.courant.com/opinion/editorials/hc-ed-courant-endorses-hillary-clinton-20161006-story.html,,
Hartford Courant,2020,Biden,https://www.courant.com/opinion/editorials/hc-ed-presidential-endorsement-2020-20201018-rqapfry7zvejdesonlcwzpwu7a-story.html,,
Honolulu Star-Advertiser,1980,Reagan/Carter,"https://news.google.com/newspapers?nid=1955&dat=19801102&id=W_chAAAAIBAJ&sjid=FKEFAAAAIBAJ&pg=4337,407405&hl=en","Honolulu Advertiser. Nov 2, 1980. (Confirmed via email by Hawaii State Library)","Honolulu Star-Bulletin endorsed Reagan, Honolulu Advertiser endorsed Carter"
Honolulu Star-Advertiser,1984,Reagan/Unknown,"Associated Press. Nov 5, 1984.",,Honolulu Star-Bulletin endorsed Reagan
Honolulu Star-Advertiser,1988,Dukakis/Unknown,"""Honolulu Newspaper Endorses Dukakis."" Associated Press. Nov 2, 1988.",,Honolulu Star-Bulletin endorsed Dukakis
Honolulu Star-Advertiser,1992,Clinton/None,"https://news.google.com/newspapers?nid=1957&dat=19921026&id=hZNGAAAAIBAJ&sjid=s-kMAAAAIBAJ&pg=1919,7004109","Associated Press. ""Campaign '92 Almanac."" Galveston Daily News. Oct 30, 1992. p. 13.","Honolulu Star-Bulletin endorsed Clinton, Honolulu Advertiser did not endorse"
Honolulu Star-Advertiser,1996,Clinton,http://www.nytimes.com/1996/10/28/us/endorsements-for-president.html,http://archives.starbulletin.com/96/11/04/editorial/editorials.html,Honolulu Star-Bulletin and Honolulu Advertiser both endorsed Clinton
Honolulu Star-Advertiser,2000,Gore,http://www.washingtonpost.com/wp-srv/politics/early/archive/early110200.htm,http://archives.starbulletin.com/2000/11/02/editorial/editorials.html,Honolulu Star-Bulletin and Honolulu Advertiser both endorsed Gore
Honolulu Star-Advertiser,2004,Kerry,https://www2.gwu.edu/~action/2004/cands/natendorse5.html,http://www.wsj.com/articles/SB109811141470348043,Honolulu Star-Bulletin and Honolulu Advertiser both endorsed Kerry
Honolulu Star-Advertiser,2008,Obama/None,http://archives.starbulletin.com/content/20081104_Advertiser_opts_not_to_endorse_any_candidate_for_president,http://archives.starbulletin.com/2008/06/05/editorial/editorial01.html,"Honolulu Star-Bulletin endorsed Obama, Honolulu Advertiser did not endorse"
Honolulu Star-Advertiser,2012,Obama,http://www.startribune.com/presidential-endorsements-newspaper-by-newspaper/176115241/,,
Honolulu Star-Advertiser,2016,Clinton,http://www.staradvertiser.com/2016/10/23/editorial/at-long-last-elect-hillary-clinton/,,
Honolulu Star-Advertiser,2020,Biden,https://www.staradvertiser.com/2020/10/15/editorial/our-view/editorial-elect-joe-biden-to-the-presidency/,,
Houston Chronicle,1980,Reagan,http://blog.chron.com/txpotomac/2008/10/a-half-century-of-chronicle-endorsements-11-r-2-d/,,
Houston Chronicle,1984,Reagan,http://blog.chron.com/txpotomac/2008/10/a-half-century-of-chronicle-endorsements-11-r-2-d/,,
Houston Chronicle,1988,Bush,http://blog.chron.com/txpotomac/2008/10/a-half-century-of-chronicle-endorsements-11-r-2-d/,,
Houston Chronicle,1992,Bush,http://www.nytimes.com/1992/10/26/us/the-1992-campaign-more-newspapers-endorse.html,,
Houston Chronicle,1996,Dole,http://lasvegassun.com/news/1996/oct/28/midwest-south-papers-like-dole/,,
Houston Chronicle,2000,Bush,http://www.nber.org/papers/w14445.pdf,,
Houston Chronicle,2004,Bush,http://blog.chron.com/txpotomac/2008/10/a-half-century-of-chronicle-endorsements-11-r-2-d/,,
Houston Chronicle,2008,Obama,http://www.chron.com/opinion/recommendations/article/Obama-for-president-Biden-for-vice-president-1764759.php,,
Houston Chronicle,2012,Romney,http://www.chron.com/opinion/editorials/article/Romney-for-president-3965675.php,,
Houston Chronicle,2016,Clinton,http://www.chron.com/opinion/recommendations/article/For-Hillary-Clinton-8650345.php,,
Houston Chronicle,2020,Biden,https://www.houstonchronicle.com/opinion/editorials/article/endorsement-Joe-Biden-president-us-election-2020-15636598.php,,
Indianapolis Star,1980,Reagan,http://www.upi.com/Archives/1980/10/26/The-New-York-Times-Sunday-endorsed-President-Carter-for/4516341380800/,,
Indianapolis Star,1984,Reagan,http://www.upi.com/Archives/1984/10/29/Reagan-Mondale-endorsed-by-newspapers-a-cross-country/1780467874000/,,
Indianapolis Star,1988,Bush,"Editor & Publisher. Volume 113, Issue 44. Nov 1, 1980. pp. 9, 11, 13.",,
Indianapolis Star,1992,Bush,"""Why Bush is best."" Indianapolis Star. Nov 1, 1992. p. F-2.",,
Indianapolis Star,1996,Dole,http://www.nytimes.com/1996/10/28/us/endorsements-for-president.html,,
Indianapolis Star,2000,Bush,http://www.washingtonpost.com/wp-srv/politics/early/archive/early110200.htm,,
Indianapolis Star,2004,Bush,http://www.presidency.ucsb.edu/data/2008_newspaper_endorsements.php,,
Indianapolis Star,2008,None,http://www.wthr.com/article/indianapolis-star-passes-presidential-endorsement,,
Indianapolis Star,2012,None,http://www.presidency.ucsb.edu/data/2012_newspaper_endorsements.php,,
Indianapolis Star,2016,None,https://www.chicagotribune.com/nation-world/ct-list-of-endorsements-20161026-htmlstory.html,,
Indianapolis Star,2020,None,,,
Investor’s Business Daily,2000,Bush,https://www.gwu.edu/~action/natendorse5.html,,
Investor’s Business Daily,2004,Bush,http://www.presidency.ucsb.edu/data/2008_newspaper_endorsements.php,,
Investor’s Business Daily,2008,McCain,http://www.presidency.ucsb.edu/data/2012_newspaper_endorsements.php,,
Investor’s Business Daily,2012,Romney,http://www.investors.com/politics/editorials/romney-has-character-skills-experience-for-presidency/,,
Jackson Clarion-Ledger,1980,Reagan,"""Ronald Reagan for president."" Jackson Clarion-Ledger. Oct 30, 1980. p. 4B.",,
Jackson Clarion-Ledger,1984,Reagan,"""Endorsements."" Jackson Clarion-Ledger. Nov 4, 1984. p. 4I.",,
Jackson Clarion-Ledger,1988,Bush,"Ivory, Bennie. ""Endorsements and news coverage don't get mixed."" Jackson Clarion-Ledger. Oct 30, 1988. p. H1.",,
Jackson Clarion-Ledger,1992,Clinton,"""Endorsements."" Jackson Clarion-Ledger. Nov 1, 1992. p. 10G.",,
Jackson Clarion-Ledger,1996,Dole,"""More papers make endorsements in presidential race."" Editor & Publisher. Volume 129, Issue 45. Nov 9, 1996. p. 3.",,
Jackson Clarion-Ledger,2000,Gore,https://www2.gwu.edu/~action/natendorse5.html,,
Jackson Clarion-Ledger,2004,Bush,http://www.nytimes.com/interactive/2008/11/03/us/politics/20081103-endorse-graphic.html?_r=0,,
Jackson Clarion-Ledger,2008,Obama,https://www2.gwu.edu/~action/2008/media08/endorsements/endorse08newspgen.html,,
Jackson Clarion-Ledger,2012,None,,,
Jackson Clarion-Ledger,2016,None,,,
Jackson Clarion-Ledger,2020,None,,,
Kansas City Star,1980,Carter,http://www.upi.com/Archives/1980/10/26/The-New-York-Times-Sunday-endorsed-President-Carter-for/4516341380800/,,
Kansas City Star,1984,Reagan,"Associated Press. Nov 4, 1984.",,"Listed as ""Kansas City Star-Times"""
Kansas City Star,1988,Dukakis,"Editor & Publisher. Volume 121, Issue 45. Nov 5, 1988. p. 10.",,
Kansas City Star,1992,Clinton,http://www.nytimes.com/1992/10/25/us/the-1992-campaign-in-editorials-5-major-papers-back-clinton.html,,
Kansas City Star,1996,Dole,http://www.nytimes.com/1996/10/28/us/endorsements-for-president.html,,
Kansas City Star,2000,Gore,http://www.washingtonpost.com/wp-srv/politics/early/archive/early110200.htm,,
Kansas City Star,2004,Kerry,http://www.presidency.ucsb.edu/data/2008_newspaper_endorsements.php,,
Kansas City Star,2008,Obama,http://www.presidency.ucsb.edu/data/2012_newspaper_endorsements.php,,
Kansas City Star,2012,Obama,http://www.presidency.ucsb.edu/data/2012_newspaper_endorsements.php,,
Kansas City Star,2016,Clinton,http://www.kansascity.com/opinion/editorials/article108280082.html,,
Kansas City Star,2020,None,https://www.nytimes.com/2020/09/17/us/elections/mcclatchys-30-newspapers-probably-wont-be-endorsing-this-year.html,,
Knoxville News Sentinel,1980,Reagan,"Knoxville News Sentinel. Oct 6, 1980.",,Confirmed via phone by Knox County Public Library
Knoxville News Sentinel,1984,Reagan,"Associated Press. Nov 4, 1984.",,
Knoxville News Sentinel,1988,Bush,"Benac, Nancy. Associated Press. Nov 7, 1988.",,
Knoxville News Sentinel,1992,Bush,"""Bush learns from mistakes."" Knoxville News Sentinel. Oct 11, 1992. p. F2.",,Provided by Knox County Public Library
Knoxville News Sentinel,1996,Dole,"""Bob Dole best to lead nation."" Knoxville News Sentinel. Oct 20, 1996. p. F2.",,
Knoxville News Sentinel,2000,Bush,https://tnledger.com/editorial/Article.aspx?id=62069,,
Knoxville News Sentinel,2004,Bush,https://www2.gwu.edu/~action/2004/cands/natendorse5.html,,
Knoxville News Sentinel,2008,McCain,https://tnledger.com/editorial/Article.aspx?id=62069,,
Knoxville News Sentinel,2012,None,https://tnledger.com/editorial/Article.aspx?id=62069,,
Knoxville News Sentinel,2016,None,https://tnledger.com/editorial/Article.aspx?id=62069,,
Knoxville News Sentinel,2020,None,https://tnledger.com/editorial/Article.aspx?id=62069,,
La Opinión,1988,Dukakis,"Editor & Publisher. Volume 121, Issue 44. Oct 29, 1988. pp. 10-11.",,
La Opinión,1992,Clinton,"Editor & Publisher. Volume 125, Issue 43. Oct 24, 1992. pp. 11, 44.",,
La Opinión,2000,Gore,https://www.gwu.edu/~action/natendorse5.html,,
La Opinión,2004,Kerry,http://www.presidency.ucsb.edu/data/2008_newspaper_endorsements.php,,
La Opinión,2008,Obama,http://www.presidency.ucsb.edu/data/2012_newspaper_endorsements.php,,
La Opinión,2012,Obama,http://www.presidency.ucsb.edu/data/2012_newspaper_endorsements.php,,
Las Vegas Review-Journal,1980,Reagan,"Editor & Publisher. Volume 113, Issue 44. Nov 1, 1980. pp. 9, 11, 13.",,
Las Vegas Review-Journal,1984,Reagan,"Editor & Publisher. Volume 117, Issue 44. Nov 3, 1984. pp. 11-12.",,
Las Vegas Review-Journal,1988,Bush,"Email from John Kerr, Las Vegas Review-Journal Editorial Writer",,
Las Vegas Review-Journal,1992,Bush,"Email from John Kerr, Las Vegas Review-Journal Editorial Writer",,
Las Vegas Review-Journal,1996,Dole,"""Dole wins... in endorsements."" Editor & Publisher. Volume 129, Issue 43. Oct 26, 1996. pp. 10-11.",,
Las Vegas Review-Journal,2000,Bush,http://www.washingtonpost.com/wp-srv/politics/early/archive/early110200.htm,,
Las Vegas Review-Journal,2004,Bush,http://www.presidency.ucsb.edu/data/2008_newspaper_endorsements.php,,
Las Vegas Review-Journal,2008,McCain,http://www.reviewjournal.com/news/elections/mccain-president,,
Las Vegas Review-Journal,2012,Romney,http://www.reviewjournal.com/opinion/editorials/president-mitt-romney,,
Las Vegas Review-Journal,2016,Trump,http://www.reviewjournal.com/opinion/editorials/editorial-donald-trump-president,,
Las Vegas Review-Journal,2020,Trump,https://www.reviewjournal.com/opinion/rj-endorses/review-journal-endorsement-president-of-the-united-states-2137028/,,
Lexington Herald-Leader,1980,Reagan,"https://news.google.com/newspapers?nid=1955&dat=19801102&id=W_chAAAAIBAJ&sjid=FKEFAAAAIBAJ&pg=4337,407405&hl=en","McLeod, Don. ""Many Newspaper Endorsements Were Half-Hearted."" Associated Press. Nov 1, 1980.",Lexington Herald and Lexington Leader both endorsed Reagan
Lexington Herald-Leader,1984,Reagan,http://www.upi.com/Archives/1984/10/29/Reagan-Mondale-endorsed-by-newspapers-a-cross-country/1780467874000/,,
Lexington Herald-Leader,1988,Dukakis,http://articles.philly.com/1988-10-31/news/26269586_1_dukakis-backers-candidate-bush-democrat-michael-s-dukakis,,
Lexington Herald-Leader,1992,Clinton,http://www.nytimes.com/1992/10/26/us/the-1992-campaign-more-newspapers-endorse.html,,
Lexington Herald-Leader,1996,Clinton,"Lexington Herald-Leader. Nov 5, 1996. p. A14.",,Confirmed via email by Lexington Public Library
Lexington Herald-Leader,2000,Gore,https://www.gwu.edu/~action/natendorse5.html,,
Lexington Herald-Leader,2004,Kerry,http://www.presidency.ucsb.edu/data/2008_newspaper_endorsements.php,,
Lexington Herald-Leader,2008,Obama,http://www.presidency.ucsb.edu/data/2012_newspaper_endorsements.php,,
Lexington Herald-Leader,2012,Obama,http://www.kentucky.com/opinion/editorials/article44385816.html,,
Lexington Herald-Leader,2016,Clinton,http://www.kentucky.com/opinion/editorials/article108337602.html,,
Lexington Herald-Leader,2020,None,https://www.nytimes.com/2020/09/17/us/elections/mcclatchys-30-newspapers-probably-wont-be-endorsing-this-year.html,,
Los Angeles Daily News,1980,Unknown,,,
Los Angeles Daily News,1984,Reagan,http://www.upi.com/Archives/1984/10/29/Reagan-Mondale-endorsed-by-newspapers-a-cross-country/1780467874000/,,
Los Angeles Daily News,1988,Bush,"""Bush for president."" Los Angeles Daily News. Oct 30, 1988. p. VPT2.",,
Los Angeles Daily News,1992,Unknown,,,
Los Angeles Daily News,1996,Dole,"""Dole for president."" Los Angeles Daily News. Nov 3, 1996. p. V2.",,
Los Angeles Daily News,2000,Bush,https://www.gwu.edu/~action/natendorse5.html,,
Los Angeles Daily News,2004,Kerry,http://www.presidency.ucsb.edu/data/2008_newspaper_endorsements.php,,
Los Angeles Daily News,2008,Obama,http://www.dailynews.com/20081019/barack-obama-for-president,,
Los Angeles Daily News,2012,Romney,http://www.dailynews.com/opinion/20121026/los-angeles-news-group-endorsement-mitt-romney-for-president,,
Los Angeles Daily News,2016,None,,,
Los Angeles Daily News,2020,None,,,
Los Angeles Times,1980,None,http://www.bloomberg.com/news/articles/2008-10-17/los-angeles-times-backs-obama-first-endorsement-since-1972,,
Los Angeles Times,1984,None,http://www.bloomberg.com/news/articles/2008-10-17/los-angeles-times-backs-obama-first-endorsement-since-1972,,
Los Angeles Times,1988,None,http://www.bloomberg.com/news/articles/2008-10-17/los-angeles-times-backs-obama-first-endorsement-since-1972,,
Los Angeles Times,1992,None,http://www.bloomberg.com/news/articles/2008-10-17/los-angeles-times-backs-obama-first-endorsement-since-1972,,
Los Angeles Times,1996,None,http://www.bloomberg.com/news/articles/2008-10-17/los-angeles-times-backs-obama-first-endorsement-since-1972,,
Los Angeles Times,2000,None,http://www.bloomberg.com/news/articles/2008-10-17/los-angeles-times-backs-obama-first-endorsement-since-1972,,
Los Angeles Times,2004,None,http://www.bloomberg.com/news/articles/2008-10-17/los-angeles-times-backs-obama-first-endorsement-since-1972,,
Los Angeles Times,2008,Obama,http://www.latimes.com/opinion/editorials/la-ed-endorse19-2008oct19-story.html,,
Los Angeles Times,2012,Obama,http://www.latimes.com/opinion/endorsements/la-ed-end-president-20121021-story.html,,
Los Angeles Times,2016,Clinton,http://www.latimes.com/opinion/editorials/la-ed-hillary-endorsement-20160923-snap-story.html,,
Los Angeles Times,2020,Biden,https://www.latimes.com/opinion/story/2020-09-10/biden-president-election-2020-los-angeles-times-endorsement,,
Louisville Courier-Journal,1980,Carter,http://files.eric.ed.gov/fulltext/ED258236.pdf,,
